22.07.2014 05:08:34: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "usec_injured" = false 4:22 Survivor2_DZ
22.07.2014 05:08:34: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "" = false 4:22 Survivor2_DZ
22.07.2014 05:08:34: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "body" = false 4:22 Survivor2_DZ
22.07.2014 05:08:34: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "hands" = false 4:22 Survivor2_DZ
22.07.2014 05:08:34: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "legs" = false 4:22 Survivor2_DZ
22.07.2014 05:08:34: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "head_hit" = false 4:22 Survivor2_DZ
22.07.2014 05:08:34: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "unconscioustime" = 0 4:22 Survivor2_DZ
22.07.2014 05:08:34: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "medforceupdate" = true 4:22 Survivor2_DZ
22.07.2014 05:08:35: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "temperature" = 42 4:22 Survivor2_DZ
22.07.2014 05:08:40: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "messing" = [0.959917,1.02222] 4:22 Survivor2_DZ
22.07.2014 05:08:46: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "posforceupdate" = true 4:22 Survivor2_DZ
22.07.2014 05:08:51: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "looted" = 0.587456 2:3169 Land_Misc_Cargo1Ao
22.07.2014 05:08:54: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "posforceupdate" = true 4:22 Survivor2_DZ
22.07.2014 05:09:02: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "posforceupdate" = true 4:22 Survivor2_DZ
22.07.2014 05:09:11: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "posforceupdate" = true 4:22 Survivor2_DZ
22.07.2014 05:09:13: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "messing" = [15.7299,16.0139] 4:22 Survivor2_DZ
22.07.2014 05:09:17: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "targets" = [<NULL-object>,<NULL-object>,<NULL-object>] 4:32 z_worker1
22.07.2014 05:09:17: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "targets" = [<NULL-object>] 4:26 z_soldier_heavy
22.07.2014 05:09:17: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "targets" = [<NULL-object>] 4:28 z_hunter
22.07.2014 05:09:17: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "targets" = [<NULL-object>] 4:30 z_hunter
22.07.2014 05:09:17: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "combattimeout" = 435.474 4:22 Survivor2_DZ
22.07.2014 05:09:19: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "combattimeout" = 437.569 4:22 Survivor2_DZ
22.07.2014 05:09:20: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "targets" = [<NULL-object>,<NULL-object>,<NULL-object>,<NULL-object>] 4:32 z_worker1
22.07.2014 05:09:21: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "combattimeout" = 439.708 4:22 Survivor2_DZ
22.07.2014 05:09:25: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "combattimeout" = 443.973 4:22 Survivor2_DZ
22.07.2014 05:09:27: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "combattimeout" = 446.019 4:22 Survivor2_DZ
22.07.2014 05:09:28: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "targets" = [<NULL-object>,<NULL-object>,<NULL-object>,<NULL-object>,<NULL-object>] 4:32 z_worker1
22.07.2014 05:09:30: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "combattimeout" = 448.165 4:22 Survivor2_DZ
22.07.2014 05:09:32: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "combattimeout" = 450.321 4:22 Survivor2_DZ
22.07.2014 05:09:38: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "combattimeout" = 456.585 4:22 Survivor2_DZ
22.07.2014 05:09:40: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "combattimeout" = 458.645 4:22 Survivor2_DZ
22.07.2014 05:09:42: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "combattimeout" = 460.699 4:22 Survivor2_DZ
22.07.2014 05:09:46: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "messing" = [21.5499,20.5639] 4:22 Survivor2_DZ
22.07.2014 05:09:48: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "combattimeout" = 466.981 4:22 Survivor2_DZ
22.07.2014 05:09:51: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "combattimeout" = 469.084 4:22 Survivor2_DZ
22.07.2014 05:09:53: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "combattimeout" = 471.151 4:22 Survivor2_DZ
22.07.2014 05:10:20: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "messing" = [26.6699,24.2972] 4:22 Survivor2_DZ
22.07.2014 05:10:24: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "combattimeout" = 0 4:22 Survivor2_DZ
22.07.2014 05:10:54: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "messing" = [31.7899,28.0306] 4:22 Survivor2_DZ
22.07.2014 05:11:27: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "messing" = [36.9099,31.7639] 4:22 Survivor2_DZ
22.07.2014 05:11:41: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "targets" = [] 4:30 z_hunter
22.07.2014 05:11:57: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "zombiespawn" = 0.587464 2:6285 UralWreck
22.07.2014 05:11:57: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #15 "zombiespawn" = 0.587464 2:6285 UralWreck
22.07.2014 05:11:58: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "zombiespawn" = 0.587464 2:6286 UAZWreck
22.07.2014 05:11:58: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #15 "zombiespawn" = 0.587464 2:6286 UAZWreck
22.07.2014 05:11:58: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "zombiespawn" = 0.587464 2:6283 datsun02Wreck
22.07.2014 05:11:58: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #15 "zombiespawn" = 0.587464 2:6283 datsun02Wreck
22.07.2014 05:11:58: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "zombiespawn" = 0.587464 2:6282 HMMWVWreck
22.07.2014 05:11:58: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #15 "zombiespawn" = 0.587464 2:6282 HMMWVWreck
22.07.2014 05:11:58: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "zombiespawn" = 0.587464 2:6284 hiluxWreck
22.07.2014 05:11:58: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #15 "zombiespawn" = 0.587464 2:6284 hiluxWreck
22.07.2014 05:11:58: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "zombiespawn" = 0.587464 2:823 UralWreck
22.07.2014 05:11:58: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #15 "zombiespawn" = 0.587464 2:823 UralWreck
22.07.2014 05:11:58: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "zombiespawn" = 0.587464 2:820 Mass_grave_DZ
22.07.2014 05:11:58: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #15 "zombiespawn" = 0.587464 2:820 Mass_grave_DZ
22.07.2014 05:11:58: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "zombiespawn" = 0.587464 2:3167 Land_Ind_Garage01
22.07.2014 05:11:58: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #15 "zombiespawn" = 0.587464 2:3167 Land_Ind_Garage01
22.07.2014 05:11:58: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "zombiespawn" = 0.587464 2:3168 Land_KBud
22.07.2014 05:11:58: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #15 "zombiespawn" = 0.587464 2:3168 Land_KBud
22.07.2014 05:11:58: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "zombiespawn" = 0.587464 2:4994 GraveCross1
22.07.2014 05:11:58: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #15 "zombiespawn" = 0.587464 2:4994 GraveCross1
22.07.2014 05:11:58: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "zombiespawn" = 0.587464 2:3169 Land_Misc_Cargo1Ao
22.07.2014 05:11:58: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #15 "zombiespawn" = 0.587464 2:3169 Land_Misc_Cargo1Ao
22.07.2014 05:12:00: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "messing" = [42.0299,35.4972] 4:22 Survivor2_DZ
22.07.2014 05:12:07: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "posforceupdate" = true 4:22 Survivor2_DZ
22.07.2014 05:12:07: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "targets" = [<NULL-object>,<NULL-object>] 4:37 z_hunter
22.07.2014 05:12:07: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "targets" = [<NULL-object>] 4:39 z_hunter
22.07.2014 05:12:07: Brave Sir Robin (119.17.38.242:57431) a84052abee928d5b0e63199928fb71de - #0 "targets" = [<NULL-object>,<NULL-object>] 4:41 z_hunter
